,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
L1, ﻿시장에 과일을 사러 갔다. , 아이들이 그네를 탄다. , 물통이 금새 채워졌다. , 사람들이 길을 건너갔다. , 전기가 나가서 어두웠다. , 입에서 냄새가 나요. , 아이들이 너무 보챘다. , 옷이 너무 더러웠다. , 차가 너무 막혀서 늦었다. , 고양이가 담을 넘어갔다. , 주말에 등산하러 갑시다. , 커피를 마시러 갔어요. , 새로 만든 빵을 샀다. , 동생이 머리를 감고 있다. , 제일 먼저 어디에 가요? , 갑자기 물이 먹고 싶었다. , 욕조의 물이 따뜻하다. , 사람들은 버스를 탔다. , 연필이나 볼펜으로 써요. , 아이들이 불장난을 했다. 
L2, 새로 산 치마를 빨았다. , 한 소년이 도망가고 있다. , 종이에 손을 베었다. , 부엌 시계가 고장났다. , 재미있는 얘기를 들었다. , 주말에 어디 갔었어요? , 이불을 잘 덮고 자거라. , 개가 주인을 무서워 했다. , 그는 지갑을 잃어버렸다. , 누가 창문을 두드렸다. , 그 학생은 오늘 지각했다. , 비옷이 흠뻑 젖었다. , 약속을 다른 날로 미루죠. , 일요일엔 등산이나 가자. , 수영은 잘 못해요. , 왜 그랬는지 모르겠어요. , 붓으로 그림을 그립니다. , 형이 동생을 울렸어요. , 우리팀이 또 졌어요. , 다음 달에 결혼해요. 
L3, 눈이 부셔서 눈이 떠졌다. , 이 책이 제일 재미있다. , 즐거운 하루를 보냈다. , 저는 다음 달에 이사해요. , 이번엔 내가 이길거예요. , 지금 밥 먹고 있어요. , 뭐가 더 필요해요? , 그분은 머리가 길어요. , 어제 차사고가 났어요. , 책을 깜박 잊고 가져오지 않았다. , 누가 제일 빨라요? , 오늘은 손님이 적었어요. , 코가 막혀서 힘들어요. , 우리 다른 곳으로 가요. , 밖이 너무 시끄러워요. , 밧데리가 다 됐나봐요. , 세탁소에 가서 맡기세요. , 집에 갈 때 태워 드릴께요. , 그 사람에게 문제가 생겼다. , 노란 바나나가 맛이 좋다. 
L4, 강아지가 공을 물어 왔다. , 개가 공을 가지고 놀았다. , 날씨가 굉장히 흐렸어요. , 신발 끈을 꼭 묶었다. , 오늘 날씨가 아주 좋죠? , 내일은 내 생일입니다. , 여기서 내려야 한다. , 고양이가 내 손을 핥았다. , 시험이 너무 쉬웠어요. , 더우면 샤워를 하세요. , 이거 말고 다른 것을 줘요. , 불은 매우 뜨겁다. , 아침 먹을 시간이 없었다. , 동전으로 바꿔 주세요. , 고양이가 바닥에 누웠다. , 이 바지는 얼마에요? , 아이가 밥을 먹지 않았다. , 아이들은 상점으로 갔다. , 빈 병 두 개가 있었다. , 그 짐이 제일 무거워요. 
L5, 여름에는 모기가 많다. , 아기에게 밥을 먹였다. , 기차가 서로 충돌했다. , 이 옷 어때요? , 이제 퇴근할 시간이다. , 그 책을 재밌게 읽었어요. , 전 영어학원에 다녀요. , 창문을 꼭 닫아라. , 어떤 운동을 좋아하세요? , 그 아기는 매우 예뻤다. , 냉면과 불고기를 주세요. , 낮에 비가 온다고 한다. , 내일 비가 올 거에요. , 자동차가 빠르게 달렸다. , 엄마가 빵 값을 냈다. , 엄마가 빵을 갖다 주었다. , 빵 사오는 것을 잊었다. , 지금은 새벽 한 시에요. , 신문은 새벽에 배달된다. , 제가 대신 갔다 올 게요. 
L6, 가방이 선반에서 떨어졌다. , 차로 십 분 정도 걸려요. , 모임은 언제 가질거죠? , 그건 여기서 안 팔아요? , 차가 많이 밀려요. , 이번 주말에 이사합니다. , 상자에서 공을 꺼냈다. , 모래성을 쌓다가 말았다. , 불을 끄니 너무 어둡다. , 빨래가 다 말라서 걷었다. , 그 가게는 불친절하다. , 산에 가서 사진을 찍었다. , 서랍 안에 가위가 있어요. , 일본에 간 적이 있어요? , 할머니께 감을 사드렸다. , 차가 고장나서 멈췄다. , 축구공이 골대에 맞았다. , 오늘 시험이 아주 쉬웠죠? , 세탁기랑 밥통을 샀어요. , 피아노를 치며 노래한다. 
L7, 봄 날씨는 어떻습니까? , 고양이가 생선을 먹는다. , 우리는 생선을 좋아한다. , 내가 생일 케익을 잘랐다. , 동생이 손가락을 다쳤다. , 아직도 수도꼭지가 샌다. , 친구와 스케이트를 탔다. , 아저씨가 의자를 고쳤다. , 봄에는 새싹이 돋는다. , 금요일엔 모임이 있어요. , 옷이 너무 얇았습니다. , 잠이 와서 커피를 마셨다. , 무슨 요일을 제일 좋아해요? , 아기 우는 소리가 들렸다. , 올해는 유난히 눈이 많다. , 개가 이유 없이 짖어댔다. , 소리가 작아서 안들렸다. , 안개가 잔뜩 끼어있다. , 엄마가 김밥을 만든다. , 그 집에서는 큰 개를 키운다. 
L8, 이거 가져가도 괜찮아요? , 생각은 좀 달라요. , 전 고양이를 싫어해요. , 신발을 벗고 들어오세요. , 엄마는 솜씨가 좋아요. , 나는 봄이 제일 좋아요. , 그는 병원에서 일해요. , 물 좀 더 주세요. , 빵이 매우 딱딱했다. , 우리는 찬물로 씻었다. , 일어났다가 다시 자요. , 닭이 달걀을 낳았다. , 내가 대신 남아 있을께요. , 누군가가 돈을 훔쳐 갔다. , 젓가락이 두 개 모자랐다. , 애들은 딸기를 좋아한다. , 술을 마시면 어떻게 돼요? , 집에서 만든 빵이 맛있다. , 그 병은 선반에 있다. , 그 사람은 너무 불친절해. 
L9, 구두가 발에 맞지 않아요. , 일요일에는 교회에 가요. , 창피해서 숨고 싶었다. , 갑자기 정전이 됐어요. , 엄마는 손님을 배웅했다. , 열시 이십분 전입니다. , 치과 가는게 제일 싫어요. , 좀 쉬었다 가면 안 될까요? , 두 남자가 이야기를 하고 있었다. , 아버지가 카운터에서 계산을 하고 있다. , 전화번호가 어떻게 되요? , 꽃이 피어 향기가 났다. , 노래하기를 싫어합니다. ," 엄마, 형이 일어났어요? ", 지각해서 혼이 났다. , 창문이 활짝 열려 있었다. , 엄마가 후라이팬을 샀다. , 그는 흰색 셔츠를 입었다. , 기름진 음식은 해로워요. , 차가 막혀서 늦었어요. 
L10, 그 아이는 행복했다. , 자기 전에 시계를 맞췄다. , 퇴근할 때 전화가 왔다. , 아무도 전화를 안 받았다. , 왜 전화를 안했어요? ," 여보세요, 중국집이지요? ", 길에서 지갑을 주웠어요. , 개가 집을 나가버렸다. , 구멍이 너무 깊어요. , 시장에서 사면 더 싸요. , 치약이 다 떨어졌다. , 어두워지자 배가 고팠다. , 엄마의 잔소리가 심했다. , 여기에 가방을 놓으면 돼. , 케잌이랑 초를 준비했어. , 곧 방학이 끝나요. , 저 물 한 잔만 주세요. , 이가 썩어서 아파요. , 운전사가 나를 기다려 주었다. , 세 명의 학생이 듣고 있었다. 
L11, 아이가 길 아래로 달렸다. , 교실이 너무 더러웠다. , 딸기쨈은 너무 달다. , 수영장에 너무 가고 싶다. , 여기 너무 덥지 않아요? , 오븐이 너무 뜨겁다. , 깜짝 놀라 잠이 깼다. , 뒤에 누가 있어요? , 저녁에 눈이 올 것이다. , 새 이웃이 이사를 온다. , 엄마가 서랍을 열었다. , 집에 가면 푹 쉬세요. , 우유 배달이 너무 늦었다. , 과속 운전은 위험하다. , 우리 아빠는 키가 크세요. , 제 취미는 테니스예요. , 집에 지갑을 두고 왔어요. , 우유를 컵에 따라 마셔라. , 여기 요금이 얼마에요? , 그 집에는 멋진 정원이 있었다. 
L12, 개가 고양이를 쫓아갔다. , 이 집이 누구 집이에요? , 거기서 친구를 만났어요. , 봄에는 나른해지기 쉽다. , 바다 속에 생물이 많다. , 아침마다 체조를 한다. , 옷장을 정리해 두어라. , 종이 비행기를 접었다. , 씻고 나서 로션을 발랐다. , 산에 올라 크게 숨을 쉰다. , 어떻게 된건지 궁금하다. , 아기가 침대에서 자요. , 그는 무슨색 옷을 입었니? , 아빠는 일찍 일어나세요. , 우리 엄마는 간호사예요. , 불이 꺼져 캄캄합니다. , 제가 카메라를 가져오죠. , 톱으로 나무를 잘라요. , 친구에게 매일 편지를 쓴다. , 그들은 돈을 몽땅 잃었다. 
L13, 누가 찾아와서 나가봤다. , 삼촌은 채소를 재배한다. , 엄마가 책을 읽어 주었다. , 친구한테서 책을 받았다. , 아기가 컵을 깨뜨렸다. , 아가씨가 코트를 입었다. , 내가 택시를 잡아 줄까요? , 침대를 정리하고 씻었다. , 검지 손가락을 베었다. , 하늘이 매우 푸르렀다. , 들어오면 안됩니다. , 전화번호를 잊어버렸어요. , 엘리베이터로 올라가죠. , 오늘부터 휴가예요. , 녹차는 없어요? , 화장실은 저쪽이예요. , 거울이 깨졌어요. , 감기 걸려서 결석했어요. , 넌 몇 학년이니? , 몇 시에 일어나세요? 
L14, 버스가 갑자기 서버렸다. , 몇 시간동안 공부했어요? , 어제 시험을 봤어요. , 선수가 신발을 잃어버렸다. , 도처에 쓰레기가 있었다. , 두 아이가 웃고 있다. , 이거 어떻게 알았어요? , 여기는 점점 추워진다. , 잃어버린 토끼를 찾았다. , 빨리 구급차를 불러요. , 개를 데리고 산책을 했다. , 그 버스는 기차보다 먼저 출발한다. , 사람들은 벤치에 앉았다. , 기차를 보자 신이 났다. , 내일 부산에 갈 거에요. , 눈이 부셔서 뜰 수가 없다. , 그 분은 어디 갔어요? , 요즘 밥맛이 없어요. , 상자 좀 얻을 수 있을까요? , 메모 좀 남겨 주세요. 
